,name,description
93,Rain Dancer 防水靴，系带,"我们经典的 靴设计现在具备您喜爱的所有 Storm Chaser 功能。突破性的 SolarCore 隔热技术以低重量提供最大的隔热性能。舒适度评级：轻度活动至 30°，中度活动至 -10°。为获得最佳贴合度，请穿中厚袜子。没有半码？请订购至下一个整码。

将 Storm Chaser 的全天候保护与我们标志性 靴的永恒设计相结合，您将获得适合冰、雪和雪泥的经典外观。SolarCore 气凝胶在市场上最薄的包装之一中提供强大的热能。此外，事实证明，它在潮湿或受压时不会失去保暖性。

结构细节包括防水全粒面牛巴革、200 克防水 PrimaLoft 提供非凡保暖性、模压 EVA 中底、EVA 模压鞋床和尼龙支撑杆、模压鞋头防撞器和防水后跟稳定器、带多齿纹的沟槽橡胶外底、TEK2.5 防水/透气膜内衬，以及后领处的皮革/尼龙提环。进口。"
94,Resilient Comfort 平角内裤,"我们采用专属的羊毛性能面料，设计了一款适合日常穿着的舒适平角内裤。由自然界最好的绝缘材料——防痒美利奴羊毛制成。

尺码与版型
内长 4.5 英寸。

面料与护理
透气、防痒的 100% 美利奴羊毛提供保暖和舒适。细针距针织，平锁缝线消除摩擦。美利奴羊毛天然防臭，让您保持更长时间的清新。冷水机洗，低温滚筒烘干或阴凉处悬挂晾干。

附加特性
内衬腰带提供更好的贴合度。全功能门襟。进口。"
95,弹性针织灯芯绒裤，修身裤腿,"这款流线型且修饰身形的针织灯芯绒裤提供修身灯芯绒裤的剪裁外观，同时不牺牲舒适度。恰到好处的弹力和松紧腰带确保您全天感觉良好。

尺码与版型
- 内长：女士 30 英寸，娇小 28 英寸，中高 32 英寸。
- 经典版型：位于腰部。
- 臀部和 thigh（大腿）修身。
- 修身裤腿。

面料与护理
- 73% 棉和 23% 聚酯纤维，含 4% Lycra® 氨纶，保持形状和易于活动。
- 色织工艺，色彩持久，洗后如新。
- 可机洗并烘干。

附加特性
- 光滑的平前松紧腰带。
- 进口。"
96,KidKomfort Pack Plus,"这款舒适、轻便且通风良好的儿童背负包能安全地运送您的小宝贝。它极其容易调节至完美贴合，并符合所有国际安全标准。

规格
- 容量：48.5磅。
- 重量：7.67磅。
- 尺寸：29英寸高 x 15英寸宽 x 17英寸深。

结构
- 采用210D尼龙阴影格纹布、400HD尼龙背包布和420HD尼龙背包布制成。
- 铝制框架和铰链。

附加功能
- Osprey独特的反重力背负系统确保快速且超级舒适的贴合感。
- Airspeed背板允许空气流通，帮助您保持凉爽。
- 两个大型抓手。
- 可拆卸和可清洗的口水垫。
- 宽底座配有锁定脚踏杆，放置在地面上时非常稳定。
- 内置遮阳篷。
- 可调节儿童座椅高度，配有安全腿环和可调节/可拆卸的脚踏带。
- 背板内设有水袋套，水袋另售。
- 进口。"
97,男士 K2 Precision Boa 冰鞋,这款K2休闲冰鞋采用Boa旋钮闭合系统，穿脱超快且贴合度极佳。SoftBoot技术让这款轻便舒适的冰鞋拥有硬靴般的稳定性。Boa闭合系统提供稳定性，Stability Plus鞋筒提供出色支撑，并配有集成扣环以实现可调节贴合。采用Thinsulate™新雪丽保暖材料，隔热防水，这款冰鞋经久耐用、舒适无比，让您舒适滑冰数小时。注塑锁定的不锈钢刀片耐腐蚀且易于维护。半码建议拍大一码，本款冰鞋为进口产品。
98,Glideaway 皮划艇桨,"这款可调节皮划艇桨专为初学者和休闲皮划艇爱好者设计。它重量轻，并具备技术元素。

规格：
桨叶尺寸：18英寸长 x 6¾英寸宽。
重量：2磅5盎司。

结构：
轻质铝制桨杆。
聚丙烯桨叶。
桨叶形状经过设计以消除颤动。
内置模制挡水环。

附加功能：
可调节套管可调整为平桨或60°斜桨，适用于左手和右手控制。
美国制造。

如有任何问题，请联系制造商。"
99,儿童 Adventurer 雪鞋配 Boa 固定器套装,"专为儿童打造的革命性雪鞋。

尺寸与贴合度：适合儿童4至7码冬季靴。

规格：
长度：19英寸。
承重：50至110磅。
重量：每双4磅4盎司。

结构：
框架采用极其轻便耐用的6000系列铝材制成。
Boa闭合系统由49根航空级不锈钢丝绞合而成。
踏板采用坚固的聚乙烯制成。
新型踏板安装件使踏板更坚硬，让雪鞋反应更灵敏。

附加功能：
易于使用的Boa闭合系统允许超快调节固定器，即使儿童戴着手套也能轻松操作。
适应大多数类型和尺寸的冬季靴。
在不同脚码的使用者之间切换极其容易。
套装包含三节7000系列铝制雪鞋杖和重型雪鞋袋。
进口。

寻找冬季探险
整个冬天漫步在您最喜爱的小径上。我们为每种类型的徒步者提供完美的雪鞋。"
100,男士 OluKai Nohea Breeze 一脚蹬,这款男士网面一脚蹬鞋采用多功能后跟踩设计和超透气网面鞋面，配以手工缝线接缝和刺绣细节，外观时尚别致。弹性松紧带侧板提供舒适贴合，而吸湿排汗的Dri-Lex超细纤维内里保持双脚凉爽干燥。全天候无痕橡胶外底配以粗线侧壁缝线，提供支撑和抓地力。进口。有问题？请联系客服。
101,Nova Prime 打气筒,NRS Super 2打气筒采用专利双气室设计，让给SUP（站立式桨板）充气至25 psi变得轻而易举。这款打气筒采用耐用模塑塑料和铝制杆制成，以实现最大耐用性。它具有1.4升大单动冲程和3.8升双动冲程，可快速充气，并配有49英寸软管。集成压力表确保精确充气，AIR MAX和POWER BOOSTER按钮允许单筒或双筒动作。这款打气筒非常适合高压充气产品，放气时也同样出色。进口。
102,Moultrie A-700 Pro 野生动物相机,"使用这款紧凑、轻便且价格实惠的野生动物相机，将您的侦察工作提升到新水平。它能拍摄清晰、锐利的图像和带声音的高清视频，让您准确了解外面的情况。规格：尺寸：4.8英寸高 x 3.5英寸宽 x 3英寸深。电池寿命：17,000张图像。附加功能：Moultrie的ILLUMNI-NIGHT传感器可拍摄明亮清晰的夜间图像。Moultrie松树林迷彩配色便于隐蔽。紧凑尺寸易于携带和隐藏。32颗LED不可见闪光技术不会惊扰野生动物。1400万像素分辨率图像。720P视频功能。50英尺闪光和探测范围。由8节AA电池供电；电池另售。0.7秒触发速度。兼容Moultrie Mobile的MV2和MA2蜂窝现场调制解调器；另售。进口。"
103,双层基础层，圆领,当外面寒冷时，第一层是最重要的——这款男士保暖内衣的双层设计提供了理想的解决方案。面料与护理：耐用的针织外层结合了50%棉/40%美利奴羊毛/10%尼龙，内层采用柔软、透气、不扎人的100%棉。可机洗和烘干。结构：超柔软、保暖的双层结构不会束缚。带有Lycra氨纶的罗纹袖口保持形状。防摩擦平锁缝线提供卓越舒适度。加拿大制造。
104,NatureFlex 收纳夹克,这款女士轻量冬季夹克非常适合全年使用。它的设计旨在让您保持温暖，可单穿或叠穿。它还可以塞进自己的手插袋中，方便打包。舒适度评级范围从轻度活动（35°）到中度活动（-15°）。尺寸和版型经过改进，更贴合纤细的身材和上臂，M码后中长为25¾英寸。衣长及臀，采用超轻100%防撕裂尼龙制成，内填轻量且可压缩的60克PrimaLoft® One聚酯纤维保暖材料。防风防泼水的外壳和抽绳下摆有助于锁住体温。弹性袖口提供贴合的穿着体验。可机洗和烘干。进口。
105,女士 Katahdin 皮革网眼防水徒步靴,"经典的高山徒步靴回归，复古风格与全天候舒适感让您在步道之外也爱不释手。

规格：约重：1.8磅。

结构：
经典徒步靴风格的麂皮皮革与网眼鞋面。
TEK2.5®防水系统和吸湿排汗内衬保持双脚干爽舒适。
齿状橡胶外底提供出色抓地力。
灵感源自欧洲徒步靴的双色叠加EVA中底。
经典加厚鞋领和EVA鞋垫提升舒适度。
D型环鞋带系统搭配快速挂钩，方便穿脱且贴合稳固。

附加特点：
鞋舌饰有复古卡塔丁山（Mt. Katahdin）标志。
是短途徒步和日常穿着的绝佳选择。
进口。"
106,羊绒蕾丝裤,"这款女士真丝裤轻盈透气，提供恰到好处的温暖而不显臃肿——柔软的镂空针织面料增添了一丝女性气息。

面料与护理
100%镂空针织真丝。
可机洗，平摊晾干。

附加特点
松紧腰。
进口。"
107,荒野勇士裤,"无论您是在猎杀害兽、捕食性动物还是冬季水禽，这款雪地迷彩裤都是锁住温暖并提供出色隐蔽性的完美外层。

尺寸与版型：加大版型，可套在保暖衣物外穿着。

面料与护理：采用静音、柔软的Hush Hide聚酯纤维面料制成。可机洗，悬挂晾干。

附加特点：迷彩图案非常适合捕食性动物、害兽狩猎和冬季水禽狩猎。裤子可轻松套在靴子外。松紧腰搭配抽绳和收口裤腿。开口设计方便您触及内侧口袋。进口。"
108,MaxGrip XtraSport 运动袜，两双装,我们的女士吸湿排汗袜子采用快干透气面料和贴心缓冲设计，让您在任何活动中都能保持双脚凉爽干燥。面料与护理成分包括43%尼龙、40% CoolMax聚酯纤维、15% NanoGlide尼龙和2%氨纶。可机洗和烘干，方便快捷。附加特点包括采用CoolMax纱线实现高级湿气控制，NanoGlide技术减少摩擦并最大限度减少水泡，足部周围采用网眼面料实现360度透气，以及脚跟和脚趾处的缓冲设计。面料进口自美国。
109," T恤

舒适棉莫代尔U领T恤","令人渴望的柔软触感与完美垂坠感，结合刚好触及锁骨的U领剪裁。这是我们最喜爱的高级T恤，带来了令人耳目一新的款式升级。

尺寸与版型
微修身：柔和地勾勒身形。
衣长及高臀。

面料与护理
60%棉，40%莫代尔。
可机洗和烘干。

附加特点
开放式U领。
卷边短袖。
柔和圆摆，后摆略长。
超柔软棉/莫代尔面料完美贴合，垂坠感极佳且抗起球。
进口。"
110,女士 ExOfficio 全天候舒适比基尼内裤,易于打理的女士 ExOfficio 内裤专为探险旅行设计，但其舒适度极高，可能会成为您的日常内裤。面料与护理：94%尼龙和6%氨纶。冷水机洗，低温滚筒烘干或在阴凉处悬挂晾干。附加特点：透气且吸湿排汗。抗菌技术提供高级防臭保护。打包后体积小巧，不会占用行李太多空间。尼龙/氨纶混纺提供弹性和舒适度。只需在水槽中快速清洗并悬挂晾干，几个小时后即可穿着。进口。
111,定制犬用项圈,"使用我们的定制狗绳，确保您的宠物能被轻松识别。

规格：
尺寸：6英尺 x 5/8""。
尺寸：6英尺 x 1""。

结构：
耐用尼龙织带。
金属旋转扣。

附加特点：
最多可个性化定制23个字符，包括空格。
注意：对于像“McCosh”这样在非首字母位置有大写字母的单词，请联系我们。
美国制造。

有问题？请联系我们。"
112,男童科技半拉链套头衫,"这款套头衫非常适合任何活跃的生活方式。它具有吸湿排汗和快干的特性，同时极其舒适且富有弹性。面料能随他伸展，但不会变形。它还采用平纹抓绒面料，内侧经过拉绒处理，贴肤感觉极佳。此外，它还带有反光点缀，在弱光条件下提高可见度。

尺寸与版型：宽松版型。

面料与护理：88% 聚酯纤维，12% 氨纶。可机洗并烘干。

进口。"
113,Rugged Ridge 全地形徒步鞋,这是一款真正的徒步鞋，能够在背负背包的情况下，在崎岖的地形上进行多日徒步。规格包括每双约重2磅8盎司。我们喜爱它的原因在于，它对真正的徒步者来说性价比极高，且足够舒适，能陪伴你度过每一天的旅程。它配备了在崎岖小径上平稳行走所需的各种功能，如支撑性、抓地力、舒适度和耐用性。鞋面采用防水牛巴革，配有聚酯纤维网眼鞋领，内衬为经过NXT抗菌防臭处理的合成网眼面料。双密度EVA中底和前掌鞋垫提供极致舒适感，并配有TEK2.5防水内衬。它还包含Vibram XS-Trek橡胶外底，提供多表面抓地力，以及模压橡胶鞋头防撞挡板和加长外部后跟稳定片，以增加保护。此外，系带设计可自定义贴合度，后鞋领配有织带提环，鞋面带有反光点缀以提高可见度。重要的是，所有这些功能都包含在这款鞋中。
114,男士 Wicked Warm 拖鞋,"我们在全球搜寻最优质的真羊剪绒，只为让我们广受欢迎的 Wicked Good 拖鞋更加出色。只需穿上这双极其柔软的羊皮拖鞋，你就不难理解它们为何得此美名。

尺寸与版型：搭配薄袜或赤脚穿着效果最佳。半码请拍大一码。

我们为何喜爱它们：在过去5年里售出了超过400万双，显然顾客们认为我们的 Wicked Good 拖鞋完全配得上“史上最佳拖鞋”的称号。它们是如此棒的礼物，以至于在12月的销售高峰期，我们每7秒就能卖出一双。它们为何如此受欢迎？原因有几个，但首要原因是你能找到的最舒适的羊剪绒。再加上采用优质羊皮打造的卓越工艺，你就会明白为什么在缅因州，“Wicked Good”（极好）就是最高赞誉。

结构：羊皮麂皮鞋面越穿越柔软。真羊剪绒内衬。室内皮革鞋底。进口。"
115,男士 TEKWool 保暖盾格纹夹克,这款羊毛夹克旨在提供坚韧的保护和经典风格，同时抵御恶劣天气。面料采用坚韧的防风雨混纺材质，含55%腈纶、25%聚酯纤维和20%再生羊毛，内衬为100%聚酯纤维，填充物为65%丙纶和35%聚酯纤维。最适合搭配轻薄内搭穿着，衣长及臀下。它包括双向拉链、内部拉链安全口袋和一个拉链胸袋，以及四个按扣外部口袋、按扣可调节袖口和背部下摆按扣可调节通风口。可机洗并烘干。进口。
116,SmartWool Jewel 袜子,这款男士 SmartWool 菱形格纹袜子在设计时充分考虑了耐用性、美观性和舒适性。采用69%美利奴羊毛、29%尼龙和2%氨纶混纺制成，这些袜子能让您的双脚保持温暖干燥，同时在受冲击较大的区域提供额外的缓冲。经典的菱形格纹风格非常适合日常穿着，它们自豪地在美国制造。为了获得最佳护理效果，请机洗并烘干。
117,儿童 Arctic Hunter 狩猎背带裤,保暖、防水的中厚款背带裤正是您的狩猎小伙伴在野外享受全天舒适所需的。我们为何喜爱它们：一个又冷又湿的狩猎伙伴会让出行早早结束。我们想让狩猎传统延续下去，这就是为什么我们为儿童挑选了市场上最好的狩猎背带裤。面料与护理：可机洗并烘干。附加功能：中厚款保暖背带裤，采用防水透气层压面料。外壳的柔软外层面料极其安静。腿部拉链便于穿脱。可调节肩带。前部斜插口袋。拉链胸袋和后袋。进口。
118,Mountain View HV 2 帐篷,"我们广受欢迎的双人 Mountain Light 帐篷经过重新设计，提供了更多可用内部空间，且门廊面积增大了50%。独特的全覆盖外帐可进行多种配置，提供多种通风选择。

规格
容量：两人及装备。
帐篷面积（不含门廊）：33.75平方英尺。
占地面积（不含门廊）：90英寸 x 54英寸。
中心高度：43英寸。
门廊面积（每个）：11.39平方英尺。
重量：5磅。
收纳尺寸：24英寸 x 7英寸。

我们为何喜爱它
这款多功能帐篷配有独特的帐顶，可通过多种方式进行配置，以最大化通风效果。两端可以一起或单独卷起，以增加空气流通或在夜间观星。一体式门廊门也可以卷起。帐身大部分采用防蚊网眼布，因此只有空气能进入，虫子进不来。

结构
帐篷底部采用耐用、轻质的70旦尼尔防撕裂尼龙塔夫绸制成。
门和帐身上的耐用防蚊网眼布可防止虫子进入，并允许极佳的空气流通。"
119,Frosty Peaks 女士抓绒夹克,我们最具性价比的抓绒夹克设计灵感源自我们的档案库，采用100%再生聚酯纤维制成，提供无与伦比的舒适感和百搭风格。尺寸与版型 - 微修身版型。最适合搭配轻薄内搭。衣长及臀。我们为何喜爱它 - 我们的设计师从档案库中汲取灵感，打造了这款超柔软抓绒夹克。我们喜爱它将传统风格与现代修身版型相结合。此外，它由100%再生抓绒制成——让您在保暖的同时也为环保尽一份力。面料与护理 - 100%再生抓绒对地球友好。可机洗并烘干。附加功能 - 拉链处配有 Bart Boot 鞋带，下摆配有抽绳。饰有我们经典的 Katahdin 标志。弹性袖口有助于阻挡冷风。两个拉链手袋可安全存放贵重物品。进口。
120,Wilderness LED迷彩帽,"现在，我们重新设计的发光帽让您在黑暗中前往狩猎台或追踪猎物变得更加轻松。

尺寸与版型：均码。

规格：
- 输出：48流明
- 照射距离：42英尺。
- 电池：4节CR2032纽扣电池（已包含）。
- 续航时间：50小时。

面料与护理：100%棉。

附加特性：
- 采用柔软水洗斜纹棉布制成。
- 迷彩狩猎帽，帽檐下方配有免提照明。
- 帽舌上配有易于使用的低调开/关按钮，方便单手操作。
- 我们将所有四个超亮LED灯隐藏在预弯帽檐下。
- 两个LED灯向前照射，提供远距离照明。
- 两个LED灯呈55度角，为近距离任务提供区域照明。
- 进口。"
121,Lumenscope MT18 3000流明可充电手电筒,"MT 18是一款功能强大的手电筒，最大输出可达3,000流明，光束照射距离超过四分之一英里。它非常适合在黑暗中需要最大可见度的情况。这款手电筒采用IPX4级结构，可承受来自任何方向的溅水。它配备了先进的电池技术，可提供出色的续航时间。X-Lens技术将三个Xtreme LED灯组合成一束非常明亮的光束，单手快速对焦机制让您能够快速改变光束。它可以通过随附的USB电缆快速充电。电池状态和充电指示灯让您随时掌握电量情况。此外，它还具有运输锁和节能模式。手电筒长6.7英寸，灯头直径3.4英寸，重21.8盎司，高亮续航5小时，中亮续航9小时，低亮续航96小时。进口。"
122,SportPRO™ Field Trainer 350,SportDOG Field Trainer 350已由经验丰富的运动员及其爱犬在各种条件下进行了实地测试，包括高温、严寒、雨雪、灰尘和泥泞。可靠的接收器和发射器防水且可潜水，超紧凑设计可防止其在茂密的灌木丛和缠绕的植被中被钩住。附加功能包括高达300码的控制范围、八级刺激、音调模式、两个设备上的低电量指示灯、可充电电池以及随附的充电器。进口。
123,抗拉伸套穿七分裤,"我们将坚固的防撕裂裤提升到了更舒适的水平，具有超柔软的触感、微弹力和柔软的针织松紧腰带。套穿式七分裤款式，非常适合温暖天气。

尺寸与版型
- 内长：女士23英寸，娇小版21英寸
- 喜爱版型：低腰设计
- 臀部和腿部微修身
- 修身裤腿

面料与护理
- 采用98%棉和2%氨纶混纺的耐用防撕裂面料，提供恰到好处的弹力
- 可机洗和烘干

附加特性
- 舒适的针织腰带，配有可调节抽绳
- 假门襟前片
- 两个带按扣的后贴袋
- 下摆带按扣，可调节
- 进口"
124,女士粗针织脖套,"这款时尚的Buff脖套采用柔软纱线编织而成，内衬Primaloft抓绒，整个冬季提供额外保暖。

规格：
尺寸：长11英寸 x 宽10英寸。

面料与护理：
舒适的Primaloft®抓绒内衬提供额外保暖和贴肤舒适感。采用80%羊毛和20%锦纶的柔软混纺面料制成。可机洗，平摊晾干。

附加特性：
恰到好处的垂坠感自然落于颈部，保暖又舒适。进口。

有问题？如有任何疑问，请联系客户服务。"
125,女士Luminous Cloud凉鞋,超级舒适、适合旅行的凉鞋，配有异常柔软、经足病医生认证的LUVSEAT聚氨酯鞋垫。可调节绑带系统让您每次去海滩都能获得定制般的贴合感。结构：聚酯提花织带上部包裹足部并穿过中底，实现定制贴合。注塑成型的梯扣。女士专属LUVSEAT PU中底。抗菌处理，控制异味。无痕ChacoGrip™橡胶外底，配有3毫米防滑齿，提供抓地力。进口。有问题？请联系我们的客户服务团队寻求帮助。
126,StreamMaster Ultra II 四节飞蝇竿，4-6号,"我们广受欢迎的四节飞蝇竿系列经过改进，变得更轻、更耐用。凭借清脆的中快调性、轻盈的手感和优质的组件，它绝对是同价位中你能找到的最好的抛投飞蝇竿。

我们喜爱它的理由

即使您成为熟练的抛投者，也不会觉得这款易于抛投的四节飞蝇竿不够用。它具有宽容的中快调性，初学者和专家都会欣赏。这是开始有趣的飞蝇钓运动的绝佳方式。今年我们减轻了重量，同时制造出环强度提高高达50%的石墨竿坯。它拥有您抛投饰带毛钩和搏斗大鳟鱼所需的力量。

结构

镀铬双脚导线环和Alconite导环减少线摩擦。石墨轮座耐腐蚀。

附加特性

包含轻质、坚固的尼龙包覆玻璃纤维竿筒，内置节段分隔器。每个竿节连接处配有对齐线和点，便于组装。进口。"
127,全天候庭院躺椅,这款经典的全天候户外摇椅在美国采用HDPE（高密度聚乙烯）制造，部分采用回收材料制成。船用级防锈涂层不锈钢五金件确保这款摇椅在任何天气下都能稳固就位，且不会腐烂、变形、开裂、产生毛刺、吸收水分或需要重新上漆。用肥皂和水即可轻松清洁，并提供三种防褪色颜色。总体而言，这款摇椅尺寸为高42½英寸 x 宽26¼英寸 x 深33¾英寸，座位区域为20英寸 x 19英寸，座位高度为17½英寸。重约37磅，与我们任何全天候产品完美搭配，打造永恒且实用的户外娱乐区。为增加舒适度，可搭配单独销售的Casco Bay坐垫。包含组装说明。
128,女士中厚印花打底裤,我们的打底系列是全天候舒适与卓越性能的理想之选。这款印花中厚打底裤是我们最百搭的单品——秋季徒步时穿在您最爱的徒步裤内，或是在本季首次雪鞋行走时穿在雪裤内。采用54%聚酯纤维、40%再生聚酯纤维和6%氨纶混纺，减少对环境的影响，吸湿排汗，快干，并经过抗菌处理，有效防臭。贴身剪裁提供恰到好处的弹力，让内搭随您活动并保持版型。享受挚爱版型——低腰设计带来极致舒适。可机洗和烘干，易于打理。进口。
129,定制狗牌,这款缅因州制造的狗牌采用厚实、耐用、防刮的不锈钢制成，是宠物长期安全的理想选择。它采用不锈钢结构，并在缅因州的一家铸造厂使用失蜡铸造工艺铸造而成。该狗牌为中等尺寸，适合15至80磅的宠物。它在缅因州设计、手工制作、抛光和雕刻，背面可个性化定制最多三行，每行12个字符。狗牌配有S钩和开口环两种五金配件。它防咬，不会生锈、磨损或变色——即使在盐水中也是如此。价格包含个性化定制服务，狗牌直径为1 1/8英寸。缅因州制造。
130,Elevation 户外灯,Traverse Cube 户外灯用途极其广泛，适合所有年龄段。它可用作夜灯，或作为露营灯照亮帐篷，也可在野餐桌旁照亮夜间纸牌游戏。尺寸为高4.5英寸 x 宽3.25英寸 x 深3.25英寸，含电池重7.7盎司。高功率下光输出高达200流明，低功率下为56流明。低功率下续航时间长达14天。孩子们会喜欢旋转的多色模式，而成年人则会欣赏在野餐桌旁玩克里比奇纸牌游戏时的高功率输出。灯罩由硅胶制成，底座由抗冲击ABS塑料制成。采用IPX7级防护结构，可承受水深1米长达30分钟的浸泡，如果不慎掉入水中还会漂浮。它包含一个便于携带或悬挂的提手，以及一个循环显示彩虹颜色的特殊模式。Traverse Cube 户外灯为进口产品。需要三节AA电池，不包含在内。
131,女童 Summit 防水保暖三合一夹克,这款女童三合一夹克以超值价格提供三种出色选择，让她在任何天气下都能保持温暖、干爽和舒适。轻度活动：适用至20°；中度活动：适用至-5°。微修身剪裁，采用100%尼龙防撕裂面料、2.5层外壳和100%尼龙迷你防撕裂内衬。填充100%聚酯纤维PrimaLoft Silver保暖材料。防水透气的外壳可在潮湿天气单独穿着，防泼水内衬填充保暖材料，适合凉爽天气。将两层搭配穿着，获得全面的天气防护。附加功能包括内衬和外壳上的媒体端口，以及内衬的全压胶接缝，在潮湿天气中增加舒适度。可机洗和烘干，进口。
132,Timberland 格纹衬衫,"源自我们标志性麂皮绒衬衫的传统，如今采用特别注重细节且比以往更柔软的款式。这款格纹麂皮绒衬衫注定将成为您衣橱中不可或缺的一部分。

尺码与版型
- 微修身：柔和地勾勒身形。
- 下摆落于低臀围处。

我们喜爱它的理由
我们将原版棉质麂皮绒的卓越品质和备受青睐的保暖性，与让这款女士麂皮绒衬衫独具特色的设计相结合。它是我们所有麂皮绒衬衫中最柔软的一款，拥有引人注目的细节，例如可翻折露出青年布饰边的袖口。

面料与护理
- 拉绒7.5盎司葡萄牙棉质麂皮绒——与我们的原版相同。
- 经过三次特殊水洗，带来独有的柔软触感。
- 可机洗和烘干。

附加特性
- 双缝线接缝确保额外的强度和耐用性。
- 领口和袖口下方配有青年布内衬。
- 内部挂衣环。
- 进口。"
133,Garmin Chrono Pro 健身手表，蓝宝石镜面,"这款高端多运动GPS智能手表配备腕式心率技术，无需佩戴心率带。内置全彩地图和导航功能，帮助您保持正确方向。

规格
尺寸：直径1.9英寸 x 厚0.6英寸。
显示屏尺寸：直径1.2英寸。
重量：3.1盎司。
显示屏分辨率：240 x 240像素。
防水等级：10 ATM；适合淋雨、溅水、淋浴、游泳、跳水和浮潜。
内存：16 GB。
电池续航：智能手表模式长达12天，GPS模式长达18小时，GPS和音乐模式长达8小时。

我们喜爱它的理由
这款GPS智能手表提供广泛的功能和能力，让您保持正轨并随时了解信息。它具有极其准确和快速的定位获取能力，从手腕监测心率，监控睡眠质量，将活动数据传输到手机，绘制活动地图，让您从30多种运动模式中选择，存储多达500首歌曲，并支持无线蓝牙耳机。

构造
这款GPS智能手表是"
134,Dynamic Denims 直筒牛仔裤,"我们的女士直筒 Double L 牛仔裤采用舒适的100%纯棉牛仔布制成。

尺码与版型
内长：标准版30英寸，娇小版28英寸，中高版32英寸。
原版版型：高腰设计。
臀部和腿部微修身。
直筒裤腿。

面料与护理
100%纯棉牛仔布经过水洗处理，确保柔软并控制缩水。
可机洗和烘干。

附加特性
传统五袋设计。
进口。"
135,女士 Cozy Cabin 短靴,我们的 Wicked Good 拖鞋由地球上最舒适的材料制成，专为持久耐用而设计。它们不仅极其柔软保暖，还提供卓越的舒适性和隔热性。在过去5年中售出超过400万双，显然顾客认为它们是有史以来最好的拖鞋。它们受欢迎的秘诀在于舒适的羊剪绒和采用优质羊皮制成的卓越结构。特点包括带缓冲的EVA中底、带有凹槽胎面以增加抓地力的耐用橡胶外底，以及正宗的生皮鞋带。羊剪绒羊毛还经过染色和防水处理。局部清洁以获得最佳效果。这些拖鞋肯定能在未来的季节里让您保持舒适温暖。
136,Mountain Ridge 狩猎帽,"这款低调的狩猎标志帽是展现您对这项运动热情的完美方式。帽冠上绣有®狩猎标志，采用柔软的斜纹棉布制成。

尺寸与版型：均码。

面料与护理：斜纹棉布。局部清洁。

附加特点：刺绣狩猎标志，低调款式，预弯帽檐，拼片处缝线耐用，可调节凸轮锁后带，进口。"
137,尼康 NatureView 双筒望远镜，12 x 42 mm,"这款尼康12x42双筒望远镜采用先进的棱镜镀膜镜片和超低色散玻璃，为您提供卓越的野外观察体验。规格包括12倍放大倍率、42毫米物镜直径、1000码处262英尺的视野、15.1毫米的出瞳距离、5.7""长 x 5""宽 x 2.1""厚的尺寸以及21.1盎司的重量。橡胶装甲机身提供防震保护，镜片防水、防雾且防刮。其他特点包括用于增强对比度和分辨率的超低色散（ED）玻璃、便于图像调节的流线型调焦轮、用于在弱光下获得卓越性能的先进介质棱镜镀膜、具有多种设置以确保正确眼部定位的眼罩、宽敞舒适的出瞳距离以及翻盖式镜头盖。附带便携包，望远镜为进口产品。"
138,女士双层保暖内衣,这款独特的双层女士连体衣采用Wool Plus外层和柔软无刺激的棉质内衬，提供全天候的温暖与舒适，且不会增加任何臃肿感。外层为50%棉、40%美利奴羊毛和10%尼龙混纺，内层为100%棉。袖口由48%棉、38%羊毛、9%尼龙和5%氨纶组成。护理方面，红色款需单独洗涤，其余款式可机洗和烘干。附加特点包括棉/美利奴羊毛/尼龙混纺以实现柔韧与保暖的最佳结合、连体式设计穿着方便、易于洗涤、采用Lycra®氨纶加固的罗纹袖口、防摩擦平锁接缝以及背部单扣垂直开合。本品为进口。
139,Glimmerbeam 夹式灯,在夜间被看见是保持安全的关键。这款小巧的灯可以夹在任何地方，提高夜间可见度——非常适合遛狗、开车门或露营。这款灯采用不锈钢夹子结构，防水，可牢固地夹在拉链、狗项圈、钥匙链等物品上。它具有常亮和闪烁两种模式，出厂时处于“试用”模式，开启后几秒钟会自动关闭。要停用“试用”模式，请长按电源按钮，直到灯光开始快速闪烁。进口。
140,超保暖850羽绒连指手套,这款手套版本的最爱夹克从我们的850羽绒夹克中汲取灵感，打造出一款技术手套，非常适合在寒冷条件下提供轻盈保暖。我们革命性的DownTek处理羽绒能保持更长时间的干燥并更快干燥，使其成为更好的绝缘体。面料与护理包括涂层850蓬松度DownTek™优质鹅绒绝缘层，吸湿更少且干燥更快；耐用防泼水Pertex外壳，阻挡寒风；手指部位采用弹性尼龙面料，穿着舒适；手掌和食指采用聚氨酯材质，增加抓地力。可机洗和烘干。这款手套还具有850羽绒绗缝拼片，在寒冷天气提供额外保暖，针织袖口可密封冷空气，微绒内衬提供额外温暖和舒适。本产品为进口。如果您有任何其他问题，请联系我们。
